,eeee,eeeu,eeuu,eueu,euuu,uuuu,eee,eeu,eue,euu,uue,uuu,ee,e e,eu,e u,uu,u u,none,cut,
eeee,0.414545,0.003182,0,0,0,0,0.372727,0.001818,0.001364,0,0,0,0.032273,0.112727,0,0.000909,0,0,0.030455,0.03,1.00
eeeu,0.000116,0.485427,0.000925,0.001504,0,0,0.022669,0.107333,0.222993,0.000463,0.000231,0,0.003932,0.018968,0.024289,0.063151,0.000116,0,0.029725,0.018158,1.00
eeet,0.074714,0.093135,0.000114,0.000343,0,0,0.391991,0.021739,0.047712,0.000114,0,0,0.079634,0.170595,0.004233,0.013959,0,0,0.024027,0.07769,1.00
eeuu,0,0.000906,0.579579,0,0.002038,0,0,0.046412,0.001585,0.000906,0.250396,0,0.001132,0,0.001132,0.048223,0.032601,0.000226,0.024677,0.010187,1.00
eeut,0,0.083064,0.112713,0.000231,0.000346,0,0.003692,0.393286,0.044878,0.005307,0.050415,0,0.021343,0.004269,0.006807,0.197047,0.006461,0.000577,0.019612,0.049952,1.00
eett,0.015123,0.031177,0.022103,0.000233,0,0,0.117729,0.154258,0.019311,0.000465,0.010703,0,0.278502,0.064216,0.009074,0.073988,0.001396,0.000233,0.016054,0.185435,1.00
eueu,0,0.000349,0,0.578605,0.001744,0.000116,0,0.001047,0.050233,0.259419,0.000349,0.000814,0,0.007907,0.009651,0.02093,0,0.036977,0.023023,0.008836,1.00
euet,0,0.084123,0.000115,0.10801,0.000517,0,0.004823,0.026069,0.422165,0.050301,0.001493,0.00023,0.001378,0.026701,0.090612,0.103646,0.000345,0.007924,0.022854,0.048694,1.00
euuu,0,0,0.000228,0.000685,0.682949,0.001027,0,0,0,0.055809,0.027733,0.155102,0,0,0.001598,0.017462,0.006619,0.03013,0.014494,0.006164,1.00
euut,0,0.000058,0,0.103575,0.132362,0.000288,0,0.000461,0.009154,0.499856,0.007139,0.030629,0.000058,0.001094,0.024239,0.032587,0.001382,0.113017,0.014739,0.029362,1.00
eutt,0,0.016565,0.00023,0.041413,0.025768,0,0.00046,0.006327,0.142874,0.194294,0.002761,0.008398,0.000575,0.008513,0.308984,0.048545,0.002531,0.049005,0.016795,0.125962,1.00
etet,0.012272,0.034178,0,0.023741,0.000229,0,0.125358,0.009175,0.172612,0.009864,0.000918,0.000115,0.034981,0.305884,0.038537,0.045189,0.000459,0.001491,0.011928,0.173069,1.00
etuu,0,0.000115,0.103365,0,0.133915,0.00023,0,0.012174,0.000804,0.014241,0.487539,0.033077,0.000115,0,0.001263,0.060296,0.103021,0.005513,0.021362,0.02297,1.00
etut,0,0.014129,0.020185,0.018512,0.030104,0.000058,0.00075,0.073241,0.06534,0.098789,0.100461,0.007266,0.003979,0.005479,0.024798,0.348616,0.022607,0.025375,0.01286,0.127451,1.00
ettt,0.00173,0.009456,0.003459,0.008418,0.007495,0,0.036324,0.031942,0.051661,0.040244,0.021333,0.001268,0.053967,0.102514,0.076684,0.14691,0.005189,0.008649,0.00738,0.385377,1.00
uuuu,0,0,0,0,0.000453,0.804889,0,0,0,0,0,0.157085,0,0,0,0,0.003169,0.030783,0.001358,0.002263,1.00
uuut,0,0,0,0,0.121188,0.160743,0,0,0,0.00986,0.005389,0.567416,0,0,0.000344,0.002752,0.026026,0.070053,0.016739,0.01949,1.00
uutt,0,0,0.021714,0,0.049203,0.030261,0,0.001155,0.000231,0.004158,0.158235,0.221067,0,0,0.001617,0.021021,0.385308,0.02541,0.0231,0.05752,1.00
utut,0,0,0,0.017382,0.047888,0.033729,0,0,0.001381,0.146541,0.001842,0.228963,0,0.00023,0.008979,0.010821,0.010706,0.398066,0.011972,0.0815,1.00
uttt,0,0.002327,0.003839,0.006864,0.013146,0.006282,0,0.013844,0.020707,0.05805,0.038274,0.067706,0.000582,0.001978,0.062122,0.123662,0.079339,0.156817,0.006631,0.33783,1.00
tttt,0,0.003167,0.002262,0.003167,0.004525,0.000905,0.005882,0.006787,0.015385,0.023982,0.01448,0.019457,0.018552,0.031674,0.047511,0.097738,0.029864,0.068326,0.004072,0.602264,1.00
,eeee,eeeu,eeuu,eueu,euuu,uuuu,eee,eeu,eue,euu,uue,uuu,ee,e e,eu,e u,uu,u u,none,,
DY,0,0,0,0,0,0.000004,0,0,0.000008,0.000001,0,0.000019,0.000363,0.043166,0.000266,0.000625,0.000476,0.10476,0.038515,0.811797,1.00